constructorStandingsId,raceId,constructorId,name,nationality,points,position,positionText,wins
4044,1,2,BMW Sauber,German,0,7,7,0
4041,1,3,Williams,British,3,4,4,0
4040,1,4,Renault,French,4,3,3,0
4042,1,5,Toro Rosso,Italian,3,5,5,0
4046,1,6,Ferrari,Italian,0,9,9,0
4039,1,7,Toyota,Japanese,11,2,2,0
4045,1,9,Red Bull,Austrian,0,8,8,0
4043,1,10,Force India,Indian,0,6,6,0
4038,1,23,Brawn,British,18,1,1,1
8533,2,1,McLaren,British,1,8,8,0
8539,2,2,BMW Sauber,German,4,3,3,0
8536,2,3,Williams,British,3.5,5,5,0
8535,2,4,Renault,French,4,4,4,0
8537,2,5,Toro Rosso,Italian,3,6,6,0
8541,2,6,Ferrari,Italian,0,10,10,0
8534,2,7,Toyota,Japanese,16.5,2,2,0
8540,2,9,Red Bull,Austrian,1.5,7,7,0
8538,2,10,Force India,Indian,0,9,9,0
8532,2,23,Brawn,British,25,1,1,2
8563,3,1,McLaren,British,8,4,4,0
8569,3,2,BMW Sauber,German,4,5,5,0
8566,3,3,Williams,British,3.5,8,8,0
8565,3,4,Renault,French,4,6,6,0
8567,3,5,Toro Rosso,Italian,4,7,7,0
8571,3,6,Ferrari,Italian,0,9,9,0
8564,3,7,Toyota,Japanese,18.5,3,3,0
8570,3,9,Red Bull,Austrian,19.5,2,2,1
8568,3,10,Force India,Indian,0,10,10,0
8562,3,23,Brawn,British,36,1,1,2
8583,4,1,McLaren,British,13,4,4,0
8589,4,2,BMW Sauber,German,4,6,6,0
8586,4,3,Williams,British,3.5,8,8,0
8585,4,4,Renault,French,5,5,5,0
8587,4,5,Toro Rosso,Italian,4,7,7,0
8591,4,6,Ferrari,Italian,3,9,9,0
8584,4,7,Toyota,Japanese,26.5,3,3,0
8590,4,9,Red Bull,Austrian,27.5,2,2,1
8588,4,10,Force India,Indian,0,10,10,0
8582,4,23,Brawn,British,50,1,1,3
8593,5,1,McLaren,British,13,4,4,0
8599,5,2,BMW Sauber,German,6,6,6,0
8596,5,3,Williams,British,4.5,8,8,0
8595,5,4,Renault,French,9,5,5,0
8597,5,5,Toro Rosso,Italian,4,9,9,0
8601,5,6,Ferrari,Italian,6,7,7,0
8594,5,7,Toyota,Japanese,26.5,3,3,0
8600,5,9,Red Bull,Austrian,38.5,2,2,1
8598,5,10,Force India,Indian,0,10,10,0
8592,5,23,Brawn,British,68,1,1,4
8673,6,1,McLaren,British,13,5,5,0
8679,6,2,BMW Sauber,German,6,8,8,0
8676,6,3,Williams,British,7.5,7,7,0
8675,6,4,Renault,French,11,6,6,0
8677,6,5,Toro Rosso,Italian,5,9,9,0
8681,6,6,Ferrari,Italian,17,4,4,0
8674,6,7,Toyota,Japanese,26.5,3,3,0
8680,6,9,Red Bull,Austrian,42.5,2,2,1
8678,6,10,Force India,Indian,0,10,10,0
8672,6,23,Brawn,British,86,1,1,5
8643,7,1,McLaren,British,13,5,5,0
8649,7,2,BMW Sauber,German,8,8,8,0
8646,7,3,Williams,British,11.5,6,6,0
8645,7,4,Renault,French,11,7,7,0
8647,7,5,Toro Rosso,Italian,5,9,9,0
8651,7,6,Ferrari,Italian,20,4,4,0
8644,7,7,Toyota,Japanese,32.5,3,3,0
8650,7,9,Red Bull,Austrian,56.5,2,2,1
8648,7,10,Force India,Indian,0,10,10,0
8642,7,23,Brawn,British,96,1,1,6
8663,8,1,McLaren,British,13,6,6,0
8669,8,2,BMW Sauber,German,8,8,8,0
8666,8,3,Williams,British,15.5,5,5,0
8665,8,4,Renault,French,11,7,7,0
8667,8,5,Toro Rosso,Italian,5,9,9,0
8671,8,6,Ferrari,Italian,26,4,4,0
8664,8,7,Toyota,Japanese,34.5,3,3,0
8670,8,9,Red Bull,Austrian,74.5,2,2,2
8668,8,10,Force India,Indian,0,10,10,0
8662,8,23,Brawn,British,105,1,1,6
8683,9,1,McLaren,British,14,6,6,0
8689,9,2,BMW Sauber,German,8,8,8,0
8686,9,3,Williams,British,20.5,5,5,0
8685,9,4,Renault,French,13,7,7,0
8687,9,5,Toro Rosso,Italian,5,9,9,0
8691,9,6,Ferrari,Italian,32,4,4,0
8684,9,7,Toyota,Japanese,34.5,3,3,0
8690,9,9,Red Bull,Austrian,92.5,2,2,3
8688,9,10,Force India,Indian,0,10,10,0
8682,9,23,Brawn,British,112,1,1,6
8693,10,1,McLaren,British,28,5,5,1
8699,10,2,BMW Sauber,German,8,8,8,0
8696,10,3,Williams,British,25.5,6,6,0
8695,10,4,Renault,French,13,7,7,0
8697,10,5,Toro Rosso,Italian,5,9,9,0
8701,10,6,Ferrari,Italian,40,3,3,0
8694,10,7,Toyota,Japanese,38.5,4,4,0
