driverStandingsId,raceId,driverId,driverRef,nationality,points,position,wins
8261,1,8,raikkonen,Finnish,0,15,0
8260,1,9,kubica,Polish,0,14,0
8259,1,20,vettel,German,0,13,0
8258,1,17,webber,Australian,0,12,0
8257,1,21,fisichella,Italian,0,11,0
8256,1,2,heidfeld,German,0,10,0
8255,1,16,sutil,German,0,9,0
8254,1,7,bourdais,French,1,8,0
8253,1,67,buemi,Swiss,2,7,0
8252,1,3,rosberg,German,3,6,0
8251,1,4,alonso,Spanish,4,5,0
8250,1,10,glock,German,5,4,0
8249,1,15,trulli,Italian,6,3,0
8248,1,22,barrichello,Brazilian,8,2,0
8247,1,18,button,British,10,1,1
17669,2,5,kovalainen,Finnish,0,20,0
17668,2,6,nakajima,Japanese,0,15,0
17667,2,12,piquet_jr,Brazilian,0,17,0
17666,2,13,massa,Brazilian,0,13,0
17665,2,8,raikkonen,Finnish,0,18,0
17664,2,9,kubica,Polish,0,19,0
17663,2,20,vettel,German,0,16,0
17662,2,17,webber,Australian,1.5,9,0
17661,2,21,fisichella,Italian,0,14,0
17660,2,2,heidfeld,German,4,5,0
17659,2,16,sutil,German,0,12,0
17658,2,7,bourdais,French,1,11,0
17657,2,67,buemi,Swiss,2,8,0
17656,2,3,rosberg,German,3.5,7,0
17655,2,4,alonso,Spanish,4,6,0
17654,2,10,glock,German,8,4,0
17653,2,15,trulli,Italian,8.5,3,0
17652,2,22,barrichello,Brazilian,10,2,0
17651,2,18,button,British,15,1,2
17670,2,1,hamilton,British,1,10,0
17714,3,10,glock,German,10,4,0
17729,3,5,kovalainen,Finnish,4,9,0
17730,3,1,hamilton,British,4,10,0
17728,3,6,nakajima,Japanese,0,18,0
17727,3,12,piquet_jr,Brazilian,0,20,0
17726,3,13,massa,Brazilian,0,15,0
17725,3,8,raikkonen,Finnish,0,16,0
17724,3,9,kubica,Polish,0,19,0
17723,3,20,vettel,German,10,3,1
17717,3,67,buemi,Swiss,3,12,0
17718,3,7,bourdais,French,1,13,0
17719,3,16,sutil,German,0,14,0
17720,3,2,heidfeld,German,4,7,0
17721,3,21,fisichella,Italian,0,17,0
17722,3,17,webber,Australian,9.5,5,0
17716,3,3,rosberg,German,3.5,11,0
17715,3,4,alonso,Spanish,4,8,0
17713,3,15,trulli,Italian,8.5,6,0
17711,3,18,button,British,21,1,2
17712,3,22,barrichello,Brazilian,15,2,0
17769,4,5,kovalainen,Finnish,4,10,0
17768,4,6,nakajima,Japanese,0,19,0
17767,4,12,piquet_jr,Brazilian,0,17,0
17766,4,13,massa,Brazilian,0,15,0
17765,4,8,raikkonen,Finnish,3,12,0
17764,4,9,kubica,Polish,0,20,0
17763,4,20,vettel,German,18,3,1
17761,4,21,fisichella,Italian,0,18,0
17760,4,2,heidfeld,German,4,9,0
17759,4,16,sutil,German,0,16,0
17758,4,7,bourdais,French,1,14,0
17757,4,67,buemi,Swiss,3,13,0
17756,4,3,rosberg,German,3.5,11,0
17754,4,10,glock,German,12,5,0
17752,4,22,barrichello,Brazilian,19,2,0
17770,4,1,hamilton,British,9,7,0
17762,4,17,webber,Australian,9.5,6,0
17751,4,18,button,British,31,1,3
17753,4,15,trulli,Italian,14.5,4,0
17755,4,4,alonso,Spanish,5,8,0
17771,5,18,button,British,41,1,4
17772,5,22,barrichello,Brazilian,27,2,0
17773,5,15,trulli,Italian,14.5,5,0
17774,5,10,glock,German,12,6,0
17775,5,4,alonso,Spanish,9,8,0
17776,5,3,rosberg,German,4.5,10,0
17777,5,67,buemi,Swiss,3,14,0
17778,5,7,bourdais,French,1,15,0
17779,5,16,sutil,German,0,16,0
17780,5,2,heidfeld,German,6,9,0
17781,5,21,fisichella,Italian,0,19,0
17782,5,17,webber,Australian,15.5,4,0
17783,5,20,vettel,German,23,3,1
17784,5,9,kubica,Polish,0,18,0
17785,5,8,raikkonen,Finnish,3,13,0
17786,5,13,massa,Brazilian,3,12,0
17787,5,12,piquet_jr,Brazilian,0,17,0
17788,5,6,nakajima,Japanese,0,20,0
17789,5,5,kovalainen,Finnish,4,11,0
17790,5,1,hamilton,British,9,7,0
17946,6,13,massa,Brazilian,8,10,0
17947,6,12,piquet_jr,Brazilian,0,18,0
17950,6,1,hamilton,British,9,9,0
17931,6,18,button,British,51,1,5
17949,6,5,kovalainen,Finnish,4,13,0
17948,6,6,nakajima,Japanese,0,20,0
17945,6,8,raikkonen,Finnish,9,8,0
17944,6,9,kubica,Polish,0,19,0
17943,6,20,vettel,German,23,3,1
17942,6,17,webber,Australian,19.5,4,0
17941,6,21,fisichella,Italian,0,16,0
17940,6,2,heidfeld,German,6,12,0
17939,6,16,sutil,German,0,17,0
17938,6,7,bourdais,French,2,15,0
17936,6,3,rosberg,German,7.5,11,0
17937,6,67,buemi,Swiss,3,14,0
17935,6,4,alonso,Spanish,11,7,0
17934,6,10,glock,German,12,6,0
17933,6,15,trulli,Italian,14.5,5,0
17932,6,22,barrichello,Brazilian,35,2,0
17890,7,1,hamilton,British,9,11,0
17889,7,5,kovalainen,Finnish,4,13,0
17888,7,6,nakajima,Japanese,0,20,0
17887,7,12,piquet_jr,Brazilian,0,19,0
17885,7,8,raikkonen,Finnish,9,10,0
17884,7,9,kubica,Polish,2,15,0
17882,7,17,webber,Australian,27.5,4,0
17880,7,2,heidfeld,German,6,12,0
17878,7,7,bourdais,French,2,16,0
17874,7,10,glock,German,13,6,0
17872,7,22,barrichello,Brazilian,35,2,0
17883,7,20,vettel,German,29,3,1
17877,7,67,buemi,Swiss,3,14,0
17879,7,16,sutil,German,0,18,0
17871,7,18,button,British,61,1,6
17873,7,15,trulli,Italian,19.5,5,0
17881,7,21,fisichella,Italian,0,17,0
17886,7,13,massa,Brazilian,11,8,0
17876,7,3,rosberg,German,11.5,7,0
17875,7,4,alonso,Spanish,11,9,0
17930,8,1,hamilton,British,9,11,0
17929,8,5,kovalainen,Finnish,4,13,0
17928,8,6,nakajima,Japanese,0,20,0
17927,8,12,piquet_jr,Brazilian,0,19,0
17925,8,8,raikkonen,Finnish,10,10,0
17924,8,9,kubica,Polish,2,15,0
17922,8,17,webber,Australian,35.5,4,0
17920,8,2,heidfeld,German,6,12,0
17918,8,7,bourdais,French,2,16,0
17914,8,10,glock,German,13,8,0
17912,8,22,barrichello,Brazilian,41,2,0
17923,8,20,vettel,German,39,3,2
17917,8,67,buemi,Swiss,3,14,0
17919,8,16,sutil,German,0,18,0
17911,8,18,button,British,64,1,6
17913,8,15,trulli,Italian,21.5,5,0
17921,8,21,fisichella,Italian,0,17,0
17926,8,13,massa,Brazilian,16,6,0
17916,8,3,rosberg,German,15.5,7,0
17915,8,4,alonso,Spanish,11,9,0
17951,9,18,button,British,68,1,6
17952,9,22,barrichello,Brazilian,44,4,0
17953,9,15,trulli,Italian,21.5,6,0
17954,9,10,glock,German,13,8,0
17955,9,4,alonso,Spanish,13,9,0
17956,9,3,rosberg,German,20.5,7,0
17957,9,67,buemi,Swiss,3,14,0
17958,9,7,bourdais,French,2,16,0
17959,9,16,sutil,German,0,18,0
17960,9,2,heidfeld,German,6,12,0
17961,9,21,fisichella,Italian,0,17,0
17962,9,17,webber,Australian,45.5,3,1
17963,9,20,vettel,German,47,2,2
17964,9,9,kubica,Polish,2,15,0
17965,9,8,raikkonen,Finnish,10,10,0
17966,9,13,massa,Brazilian,22,5,0
17967,9,12,piquet_jr,Brazilian,0,19,0
17968,9,6,nakajima,Japanese,0,20,0
17969,9,5,kovalainen,Finnish,5,13,0
17970,9,1,hamilton,British,9,11,0
17971,10,18,button,British,70,1,6
17972,10,22,barrichello,Brazilian,44,4,0
17973,10,15,trulli,Italian,22.5,6,0
17974,10,10,glock,German,16,10,0
17975,10,4,alonso,Spanish,13,11,0
17976,10,3,rosberg,German,25.5,5,0
17977,10,67,buemi,Swiss,3,14,0
17978,10,7,bourdais,French,2,16,0
17979,10,16,sutil,German,0,19,0
17980,10,2,heidfeld,German,6,13,0
17981,10,21,fisichella,Italian,0,17,0
17982,10,17,webber,Australian,51.5,2,1
17983,10,20,vettel,German,47,3,2
17984,10,9,kubica,Polish,2,15,0
17985,10,8,raikkonen,Finnish,18,9,0
17986,10,13,massa,Brazilian,22,7,0
17987,10,12,piquet_jr,Brazilian,0,20,0
17988,10,6,nakajima,Japanese,0,18,0
17989,10,5,kovalainen,Finnish,9,12,0
17990,10,1,hamilton,British,19,8,1
17991,10,153,alguersuari,Spanish,0,21,0
17992,11,18,button,British,72,1,6
17993,11,22,barrichello,Brazilian,54,2,1
17994,11,15,trulli,Italian,22.5,8,0
17995,11,10,glock,German,16,10,0
17996,11,4,alonso,Spanish,16,11,0
17997,11,3,rosberg,German,29.5,5,0
17998,11,67,buemi,Swiss,3,15,0
17999,11,7,bourdais,French,2,16,0
18000,11,16,sutil,German,0,18,0
18001,11,2,heidfeld,German,6,13,0
18002,11,21,fisichella,Italian,0,17,0
18003,11,17,webber,Australian,51.5,3,1
18004,11,20,vettel,German,47,4,2
18005,11,9,kubica,Polish,3,14,0
18006,11,8,raikkonen,Finnish,24,7,0
18007,11,13,massa,Brazilian,22,9,0
18008,11,12,piquet_jr,Brazilian,0,20,0
18009,11,6,nakajima,Japanese,0,19,0
18010,11,5,kovalainen,Finnish,14,12,0
18011,11,1,hamilton,British,27,6,1
18012,11,153,alguersuari,Spanish,0,21,0
18013,11,154,grosjean,French,0,22,0
18014,11,69,badoer,Italian,0,23,0
18015,12,18,button,British,72,1,6
18016,12,22,barrichello,Brazilian,56,2,1
18017,12,15,trulli,Italian,22.5,8,0
18018,12,10,glock,German,16,11,0
18019,12,4,alonso,Spanish,16,12,0
18020,12,3,rosberg,German,30.5,6,0
18021,12,67,buemi,Swiss,3,16,0
18022,12,7,bourdais,French,2,17,0
18023,12,16,sutil,German,0,18,0
18024,12,2,heidfeld,German,10,13,0
18025,12,21,fisichella,Italian,8,14,0
18026,12,17,webber,Australian,51.5,4,1
18027,12,20,vettel,German,53,3,2
18028,12,9,kubica,Polish,8,15,0
18029,12,8,raikkonen,Finnish,34,5,1
18030,12,13,massa,Brazilian,22,9,0
18031,12,12,piquet_jr,Brazilian,0,20,0
18032,12,6,nakajima,Japanese,0,19,0
18033,12,5,kovalainen,Finnish,17,10,0
18034,12,1,hamilton,British,27,7,1
18035,12,153,alguersuari,Spanish,0,22,0
18036,12,154,grosjean,French,0,23,0
18037,12,69,badoer,Italian,0,21,0
18038,13,18,button,British,80,1,6
18039,13,22,barrichello,Brazilian,66,2,2
18040,13,15,trulli,Italian,22.5,8,0
18041,13,10,glock,German,16,12,0
18042,13,4,alonso,Spanish,20,11,0
18043,13,3,rosberg,German,30.5,6,0
18044,13,67,buemi,Swiss,3,17,0
18045,13,7,bourdais,French,2,18,0
18046,13,16,sutil,German,5,16,0
18047,13,2,heidfeld,German,12,13,0
18048,13,21,fisichella,Italian,8,14,0
18049,13,17,webber,Australian,51.5,4,1
18050,13,20,vettel,German,54,3,2
18051,13,9,kubica,Polish,8,15,0
18052,13,8,raikkonen,Finnish,40,5,1
18053,13,13,massa,Brazilian,22,9,0
18054,13,12,piquet_jr,Brazilian,0,20,0
18055,13,6,nakajima,Japanese,0,19,0
18056,13,5,kovalainen,Finnish,20,10,0
18057,13,1,hamilton,British,27,7,1
18058,13,153,alguersuari,Spanish,0,23,0
18059,13,154,grosjean,French,0,22,0
18060,13,69,badoer,Italian,0,21,0
18061,13,24,liuzzi,Italian,0,24,0
18062,14,18,button,British,84,1,6
18063,14,22,barrichello,Brazilian,69,2,2
18064,14,15,trulli,Italian,22.5,10,0
18065,14,10,glock,German,24,9,0
18066,14,4,alonso,Spanish,26,8,0
18067,14,3,rosberg,German,30.5,7,0
18068,14,67,buemi,Swiss,3,17,0
18069,14,7,bourdais,French,2,18,0
18070,14,16,sutil,German,5,16,0
18071,14,2,heidfeld,German,12,13,0
18072,14,21,fisichella,Italian,8,15,0
18073,14,17,webber,Australian,51.5,4,1
18074,14,20,vettel,German,59,3,2
18075,14,9,kubica,Polish,9,14,0
18076,14,8,raikkonen,Finnish,40,5,1
18077,14,13,massa,Brazilian,22,11,0
18078,14,12,piquet_jr,Brazilian,0,20,0
18079,14,6,nakajima,Japanese,0,19,0
18080,14,5,kovalainen,Finnish,22,12,0
18081,14,1,hamilton,British,37,6,2
18082,14,153,alguersuari,Spanish,0,24,0
18083,14,154,grosjean,French,0,23,0
18084,14,69,badoer,Italian,0,21,0
18085,14,24,liuzzi,Italian,0,22,0
18133,15,24,liuzzi,Italian,0,21,0
18132,15,69,badoer,Italian,0,22,0
18131,15,154,grosjean,French,0,23,0
18130,15,153,alguersuari,Spanish,0,24,0
18129,15,1,hamilton,British,43,6,2
18128,15,5,kovalainen,Finnish,22,12,0
18127,15,6,nakajima,Japanese,0,19,0
18126,15,12,piquet_jr,Brazilian,0,20,0
18124,15,8,raikkonen,Finnish,45,5,1
18119,15,2,heidfeld,German,15,13,0
18117,15,7,bourdais,French,2,18,0
18115,15,3,rosberg,German,34.5,7,0
18114,15,4,alonso,Spanish,26,9,0
18113,15,10,glock,German,24,10,0
18112,15,15,trulli,Italian,30.5,8,0
18125,15,13,massa,Brazilian,22,11,0
18121,15,17,webber,Australian,51.5,4,1
18120,15,21,fisichella,Italian,8,15,0
18116,15,67,buemi,Swiss,3,17,0
18122,15,20,vettel,German,69,3,3
18123,15,9,kubica,Polish,9,14,0
18118,15,16,sutil,German,5,16,0
18110,15,18,button,British,85,1,6
18111,15,22,barrichello,Brazilian,71,2,2
18134,16,18,button,British,89,1,6
18135,16,22,barrichello,Brazilian,72,3,2
18136,16,15,trulli,Italian,30.5,8,0
18137,16,10,glock,German,24,10,0
18138,16,4,alonso,Spanish,26,9,0
18139,16,3,rosberg,German,34.5,7,0
18140,16,67,buemi,Swiss,5,17,0
18141,16,7,bourdais,French,2,18,0
18142,16,16,sutil,German,5,16,0
18143,16,2,heidfeld,German,15,14,0
18144,16,21,fisichella,Italian,8,15,0
18145,16,17,webber,Australian,61.5,4,2
18146,16,20,vettel,German,74,2,3
18147,16,9,kubica,Polish,17,13,0
18148,16,8,raikkonen,Finnish,48,6,1
18149,16,13,massa,Brazilian,22,11,0
18150,16,12,piquet_jr,Brazilian,0,20,0
18151,16,6,nakajima,Japanese,0,19,0
