raceId,year,round,circuitId,racename,date,time,circuitname ,city,country
1,2009,1,1,Australian Grand Prix,29/03/2009,6:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia
2,2009,2,2,Malaysian Grand Prix,05/04/2009,9:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia
3,2009,3,17,Chinese Grand Prix,19/04/2009,7:00:00,Shanghai International Circuit,Shanghai,China
4,2009,4,3,Bahrain Grand Prix,26/04/2009,12:00:00,Bahrain International Circuit,Sakhir,Bahrain
5,2009,5,4,Spanish Grand Prix,10/05/2009,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain
6,2009,6,6,Monaco Grand Prix,24/05/2009,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco
7,2009,7,5,Turkish Grand Prix,07/06/2009,12:00:00,Istanbul Park,Istanbul,Turkey
8,2009,8,9,British Grand Prix,21/06/2009,12:00:00,Silverstone Circuit,Silverstone,UK
9,2009,9,20,German Grand Prix,12/07/2009,12:00:00,Nürburgring,Nürburg,Germany
10,2009,10,11,Hungarian Grand Prix,26/07/2009,12:00:00,Hungaroring,Budapest,Hungary
11,2009,11,12,European Grand Prix,23/08/2009,12:00:00,Valencia Street Circuit,Valencia,Spain
12,2009,12,13,Belgian Grand Prix,30/08/2009,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium
13,2009,13,14,Italian Grand Prix,13/09/2009,12:00:00,Autodromo Nazionale di Monza,Monza,Italy
14,2009,14,15,Singapore Grand Prix,27/09/2009,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore
15,2009,15,22,Japanese Grand Prix,04/10/2009,5:00:00,Suzuka Circuit,Suzuka,Japan
16,2009,16,18,Brazilian Grand Prix,18/10/2009,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil
17,2009,17,24,Abu Dhabi Grand Prix,01/11/2009,11:00:00,Yas Marina Circuit,Abu Dhabi,UAE
