resultId,raceId,driverId,constructorId,grid,position,points,laps,milliseconds,fastestLap,fastestLapTime,fastestLapSpeed,statusId
7554,1,18,23,1,1,10,58,5655784,17,01:28.0,216.891,1
7555,1,22,23,2,2,8,58,5656591,43,01:29.1,214.344,1
7556,1,15,7,20,3,6,58,5657388,50,01:28.9,214.706,1
7557,1,10,7,19,4,5,58,5660219,53,01:28.4,215.92,1
7558,1,4,4,10,5,4,58,5660663,53,01:28.7,215.199,1
7559,1,3,3,5,6,3,58,5661506,48,01:27.7,217.668,1
7560,1,67,5,13,7,2,58,5661788,34,01:29.2,213.95,1
7561,1,7,5,17,8,1,58,5662082,50,01:29.8,212.537,1
7562,1,16,10,16,9,0,58,5662119,43,01:28.9,214.64,1
7563,1,2,2,9,10,0,58,5662869,48,01:28.3,216.245,1
7564,1,21,10,15,11,0,58,5663158,51,01:29.0,214.491,1
7565,1,17,9,8,12,0,57,\N,38,01:28.5,215.695,11
7566,1,20,9,3,13,0,56,\N,8,01:28.1,216.596,4
7567,1,9,2,4,14,0,55,\N,36,01:28.0,216.97,4
7568,1,8,6,7,15,0,55,\N,35,01:28.5,215.744,24
7569,1,13,6,6,\N,0,45,\N,30,01:29.1,214.164,22
7570,1,12,4,14,\N,0,24,\N,17,01:30.5,210.943,20
7571,1,6,3,11,\N,0,17,\N,6,01:29.9,212.301,3
7572,1,5,1,12,\N,0,0,\N,\N,\N,\N,4
7573,1,1,1,18,\N,0,58,\N,39,01:29.0,214.455,2
7574,2,18,23,1,1,5,31,4252092,18,01:36.6,206.483,1
7575,2,2,2,10,2,4,31,4274814,17,01:39.1,201.392,1
7576,2,10,7,3,3,3,31,4275605,18,01:39.4,200.74,1
7577,2,15,7,2,4,2.5,31,4298265,12,01:37.6,204.473,1
7578,2,22,23,8,5,2,31,4299452,17,01:37.5,204.698,1
7579,2,17,9,5,6,1.5,31,4304425,14,01:37.7,204.304,1
7580,2,1,1,12,7,1,31,4312825,17,01:39.1,201.276,1
7581,2,3,3,4,8,0.5,31,4323668,13,01:37.6,204.459,1
7582,2,13,6,16,9,0,31,4329024,17,01:39.3,201.055,1
7583,2,7,5,15,10,0,31,4354256,17,01:39.2,201.072,1
7584,2,4,4,9,11,0,31,\N,17,01:39.0,201.551,11
7585,2,6,3,11,12,0,31,\N,17,01:39.4,200.778,11
7586,2,12,4,17,13,0,31,\N,18,01:39.3,201.019,11
7587,2,8,6,7,14,0,31,\N,17,01:38.5,202.683,11
7588,2,20,9,13,15,0,30,\N,10,01:38.4,202.737,20
7589,2,67,5,20,16,0,30,\N,16,01:38.9,201.689,20
7590,2,16,10,19,17,0,30,\N,17,01:39.5,200.623,11
7591,2,21,10,18,18,0,29,\N,16,01:39.4,200.738,20
7592,2,9,2,6,\N,0,1,\N,\N,\N,\N,5
7593,2,5,1,14,\N,0,0,\N,\N,\N,\N,20
7594,3,20,9,1,1,10,56,7063485,42,01:52.6,174.235,1
7595,3,17,9,3,2,8,56,7074455,42,01:53.0,173.69,1
7596,3,18,23,5,3,6,56,7108460,44,01:53.5,172.825,1
7597,3,22,23,4,4,5,56,7127189,42,01:52.6,174.289,1
7598,3,5,1,12,5,4,56,7128587,41,01:54.5,171.361,1
7599,3,1,1,9,6,3,56,7135351,39,01:54.7,171.138,1
7600,3,10,7,19,7,2,56,7137961,42,01:52.7,174.117,1
7601,3,67,5,10,8,1,56,7139924,42,01:54.6,171.25,1
7602,3,4,4,2,9,0,56,7147794,38,01:54.5,171.413,1
7603,3,8,6,8,10,0,56,7155235,38,01:55.4,170.054,1
7604,3,7,5,15,11,0,56,7157641,43,01:53.5,172.934,1
7605,3,2,2,11,12,0,56,7159319,40,01:54.2,171.898,1
7606,3,9,2,17,13,0,56,7170338,44,01:55.3,170.122,1
7607,3,21,10,20,14,0,55,\N,37,01:56.2,168.821,11
7608,3,3,3,7,15,0,55,\N,55,01:54.2,171.77,11
7609,3,12,4,16,16,0,54,\N,42,01:55.5,169.849,12
7610,3,16,10,18,17,0,50,\N,41,01:54.8,170.971,20
7611,3,6,3,14,\N,0,43,\N,38,01:56.2,168.925,31
7612,3,13,6,13,\N,0,20,\N,16,01:56.5,168.466,40
7613,3,15,7,6,\N,0,18,\N,14,02:00.3,163.081,4
7614,4,18,23,4,1,10,57,5508182,11,01:34.6,205.979,1
